src;dst;pktcount;label
0;0.411764706;0.174242133;0
0;0.411764706;0.486123397;0
0.052631579;0.411764706;0.347426598;0
0.052631579;0.411764706;0.347426598;0
0.052631579;0.411764706;0.347426598;0
0.052631579;0.411764706;0.347426598;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0.052631579;0.411764706;0.347426598;0
0;0.411764706;0.174242133;0
0.052631579;0.411764706;0.347426598;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0.052631579;0.411764706;0.347426598;0
0.052631579;0.411764706;0.399475397;0
0;0.411764706;0.486123397;0
0;0.411764706;0.329515473;0
0;0.411764706;0.329515473;0
0;0.411764706;0.329515473;0
0;0.411764706;0.329515473;0
0.052631579;0.411764706;0.347426598;0
0.052631579;0.411764706;0.347426598;0
0.052631579;0.411764706;0.347426598;0
0.052631579;0.411764706;0.347426598;0
0;0.411764706;0.174242133;0
0.052631579;0.411764706;0.347426598;0
0.052631579;0.411764706;0.347426598;0
0.052631579;0.411764706;0.347426598;0
0.052631579;0.411764706;0.347426598;0
0.052631579;0.411764706;0.347426598;0
0.052631579;0.411764706;0.347426598;0
0.052631579;0.411764706;0.347426598;0
0.052631579;0.411764706;0.347426598;0
0.052631579;0.411764706;0.347426598;0
0.052631579;0.411764706;0.347426598;0
0;0.352941176;0.126589386;0
0;0.352941176;0.126589386;0
0;0.352941176;0.126589386;0
0;0.352941176;0.126589386;0
0;0.352941176;0.126589386;0
0;0.352941176;0.126589386;0
0;0.352941176;0.126589386;0
0;0.352941176;0.126589386;0
0;0.352941176;0.126589386;0
0;0.411764706;0.174242133;0
0;0.352941176;0.126589386;0
0;0.411764706;0.174242133;0
0;0.352941176;0.126589386;0
0;0.352941176;0.126589386;0
0;0.352941176;0.126589386;0
0;0.352941176;0.126589386;0
0;0.352941176;0.126589386;0
0;0.352941176;0.126589386;0
0;0.352941176;0.126589386;0
0;0.352941176;0.126589386;0
0;0.352941176;0.126589386;0
0;0.352941176;0.126589386;0
0;0.411764706;0.174242133;0
0;0.411764706;0.486123397;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
0;0.411764706;0.174242133;0
